Player,Draft pick,Height (No Shoes),Wingspan,Standing reach,Vertical (Max),Weight,Body Fat,Hand (Width),Bench,Agility,Sprint
Frank Jackson,31.0,74.0,79.5,98.0,42.0,202.0,6.7,9.0,,10.94,3.14
Jeff Pendergraph,31.0,80.75,85.0,107.0,35.0,240.0,5.5,,15.0,11.98,3.14
Allen Crabbe,31.0,77.25,83.25,103.5,36.0,197.0,4.7,8.5,10.0,10.67,3.32
Jeff Taylor,31.0,78.0,78.25,101.5,40.0,213.0,4.2,9.75,15.0,10.87,3.29
K.J. McDaniels,32.0,76.5,83.25,102.0,37.0,196.0,4.5,9.75,,12.71,3.1
Dexter Pittman,32.0,81.5,90.0,111.0,,303.0,20.8,10.5,,,
Davon Reed,32.0,76.5,84.0,102.0,36.0,206.0,6.5,9.5,,11.37,3.34
Tomas Satoransky,32.0,78.5,79.25,100.0,,201.0,5.2,9.5,,,
Montrezl Harrell,32.0,79.0,88.25,109.0,,253.0,11.9,9.75,,,
Justin Harper,32.0,80.0,83.75,106.0,33.0,228.0,4.0,9.25,19.0,11.92,3.3
Jermaine Taylor,32.0,75.5,80.75,101.0,37.5,207.0,5.8,,16.0,11.54,3.32
Joe Harris,33.0,76.75,78.0,100.0,33.5,215.0,6.2,9.75,,11.11,3.31
Jordan Mickey,33.0,79.0,87.25,106.0,37.5,238.0,7.2,9.5,9.0,11.8,3.28
Kyle Singler,33.0,79.5,82.1,106.0,30.0,228.0,10.0,8.75,10.0,11.22,3.21
Dante Cunningham,33.0,79.0,83.0,106.5,35.0,227.0,4.8,,18.0,11.18,3.26
Cheick Diallo,33.0,79.5,88.5,107.5,35.0,219.0,5.6,9.75,,11.24,3.26
Hassan Whiteside,33.0,82.5,91.0,113.0,31.5,227.0,5.5,10.25,12.0,11.83,3.54
Wesley Iwundu,33.0,77.5,85.0,105.5,36.0,193.0,4.0,9.5,,11.25,3.36
Bernard James,33.0,80.75,87.0,108.5,32.5,230.0,5.0,9.25,6.0,11.84,3.4
Carrick Felix,33.0,76.75,81.25,103.5,38.5,203.0,3.3,9.5,15.0,11.16,3.25
Frank Mason,34.0,71.0,75.25,94.0,41.0,189.0,4.3,9.25,,11.41,3.18
Isaiah Canaan,34.0,71.0,76.5,94.5,40.5,188.0,5.9,9.5,16.0,10.98,3.22
Jae Crowder,34.0,76.75,81.25,99.5,34.5,241.0,9.0,10.5,20.0,11.45,3.37
Armon Johnson,34.0,74.0,80.0,99.5,38.5,195.0,5.6,9.25,18.0,11.25,3.19
Anthony Brown,34.0,77.25,83.25,104.5,34.5,211.0,6.1,9.0,4.0,11.06,3.18
Cleanthony Early,34.0,78.0,82.75,101.5,40.0,209.0,4.5,9.0,,11.15,3.18
Tyler Ulis,34.0,68.75,74.0,88.5,38.0,149.0,5.2,7.5,,10.8,3.2
Shelvin Mack,34.0,73.0,79.5,96.5,39.0,209.0,7.1,9.25,17.0,11.23,3.18
Ivan Rabb,35.0,80.75,85.5,109.0,32.5,220.0,6.8,9.0,,12.68,3.35
Tyler Honeycutt,35.0,78.75,81.0,105.0,37.0,187.0,5.3,9.5,,11.68,3.07
Jarnell Stokes,35.0,79.0,85.25,103.5,36.0,263.0,8.2,10.5,,11.92,3.26
Glen Rice,35.0,76.5,81.25,101.5,40.5,211.0,8.5,9.0,10.0,10.99,3.25
Draymond Green,35.0,77.75,85.25,105.0,33.0,236.0,11.3,9.5,9.0,11.01,3.4
DaJuan Summers,35.0,79.25,84.75,106.5,34.5,243.0,6.6,,15.0,10.94,3.17
Orlando Johnson,36.0,75.75,83.25,99.0,39.5,224.0,7.0,9.5,13.0,10.98,3.25
Rakeem Christmas,36.0,80.25,89.25,110.5,,243.0,9.6,,9.0,11.57,3.47
Ray McCallum,36.0,72.25,75.25,96.5,40.0,191.0,7.3,8.75,5.0,10.82,3.25
Jordan Williams,36.0,79.75,84.25,106.5,30.5,247.0,12.1,10.0,10.0,12.74,3.45
Malcolm Brogdon,36.0,75.75,82.5,98.0,35.5,223.0,5.4,10.25,,10.77,3.31
Sam Young,36.0,77.25,82.75,105.5,33.0,223.0,4.9,,,11.47,3.45
Terrico White,36.0,75.75,81.0,101.0,40.0,203.0,3.7,10.5,10.0,11.38,3.15
Johnny O'Bryant,36.0,79.25,86.25,105.0,35.5,257.0,10.8,9.5,,11.57,3.45
DeJuan Blair,37.0,77.25,86.0,106.5,33.0,277.0,12.0,,18.0,11.5,3.45
Semi Ojeleye,37.0,77.25,81.75,102.0,40.5,241.0,5.5,9.5,,10.58,3.16
Tony Mitchell,37.0,79.5,86.5,106.5,38.0,236.0,5.6,10.0,13.0,11.82,3.52
Darington Hobson,37.0,77.25,81.25,104.5,34.0,204.0,6.2,9.0,,11.68,3.25
Trey Thompkins,37.0,80.5,85.0,107.5,30.5,239.0,15.5,9.75,15.0,11.72,3.41
Richaun Holmes,37.0,80.25,85.5,108.0,36.0,243.0,8.8,8.5,15.0,11.37,3.32
DeAndre Daniels,37.0,79.25,86.0,106.5,32.0,196.0,3.9,10.5,,11.46,3.44
Chinanu Onuaku,37.0,81.0,86.75,108.5,33.5,245.0,8.6,8.0,,11.65,3.5
Quincy Acy,37.0,78.5,86.75,106.5,37.0,224.0,7.1,11.0,13.0,10.48,3.28
Andy Rautins,38.0,76.25,79.0,100.0,30.5,192.0,6.2,9.75,8.0,11.27,3.49
Nate Wolters,38.0,75.5,75.75,98.0,,196.0,5.5,8.75,8.0,,
Patrick McCaw,38.0,77.25,82.0,100.5,38.0,181.0,4.7,8.75,,11.01,3.3
Jordan Bell,38.0,79.0,83.75,104.5,38.0,224.0,5.4,9.5,,10.63,3.21
Spencer Dinwiddie,38.0,76.5,80.25,103.0,,205.0,5.4,9.0,,,
Quincy Miller,38.0,80.75,85.25,105.0,36.0,219.0,7.8,10.25,8.0,11.05,3.48
Chandler Parsons,38.0,80.75,81.5,104.5,31.5,221.0,7.0,10.0,4.0,11.05,3.29
Jerami Grant,39.0,78.5,86.75,107.0,,214.0,3.8,9.25,,,
Jeremy Tyler,39.0,81.0,89.0,110.5,33.5,262.0,13.4,9.0,10.0,11.26,3.29
Khris Middleton,39.0,78.75,82.75,103.0,31.0,216.0,7.8,9.0,4.0,11.45,3.47
Jeff Withey,39.0,82.75,86.0,110.5,29.0,222.0,8.7,9.75,10.0,12.49,3.47
Jawun Evans,39.0,70.75,77.5,95.0,33.5,185.0,9.1,7.75,,11.34,3.21
Glenn Robinson,40.0,77.5,82.0,100.5,41.5,211.0,5.1,9.5,,11.22,3.15
Will Barton,40.0,77.0,81.75,102.5,34.0,174.0,4.1,9.5,,12.5,3.6
Grant Jerrett,40.0,80.75,86.0,109.0,34.0,232.0,10.1,9.25,2.0,11.85,3.51
Lance Stephenson,40.0,76.5,82.5,103.0,33.0,227.0,9.3,10.25,10.0,11.39,3.38
Dwayne Bacon,40.0,76.75,82.0,103.5,36.5,222.0,7.9,10.0,,11.7,3.22
Diamond Stone,40.0,81.0,86.75,108.5,29.5,254.0,12.9,7.75,,12.02,3.5
Jon Leuer,40.0,82.0,84.0,105.5,36.5,223.0,5.4,9.75,17.0,10.82,3.36
Derrick Brown,40.0,79.5,86.5,107.5,35.5,225.0,8.6,,20.0,11.26,3.13
Tyshawn Taylor,41.0,74.75,78.25,97.5,36.5,177.0,4.2,8.75,,11.48,3.2
Jodie Meeks,41.0,75.0,76.5,98.0,37.0,211.0,8.0,,14.0,10.96,3.1
Pat Connaughton,41.0,76.0,80.75,96.0,44.0,215.0,10.2,9.25,13.0,10.74,3.2
Jamaal Franklin,41.0,76.0,83.25,103.5,,191.0,8.3,8.25,,,
Darius Morris,41.0,75.25,79.5,102.0,32.0,190.0,5.3,10.0,12.0,11.0,3.2
Stephen Zimmerman,41.0,82.25,87.25,108.5,31.0,234.0,11.2,9.0,,12.08,3.43
Tyler Dorsey,41.0,75.0,77.25,99.5,36.0,183.0,4.7,9.25,,10.55,3.16
Jarvis Varnado,41.0,80.25,87.5,109.5,32.5,210.0,9.5,9.5,3.0,11.61,3.37
Thomas Bryant,42.0,81.5,90.0,112.5,33.0,248.0,9.4,10.25,,11.42,3.37
Pierre Jackson,42.0,69.5,70.0,90.0,,176.0,4.5,8.25,,,
Olivier Hanlan,42.0,75.25,78.5,100.0,34.0,186.0,4.3,8.75,19.0,11.36,3.25
Doron Lamb,42.0,75.25,78.75,98.5,33.5,199.0,6.7,8.75,2.0,11.12,3.41
Isaiah Whitehead,42.0,75.25,80.75,100.0,35.5,210.0,9.3,8.75,,11.65,3.34
Nick Johnson,42.0,73.5,79.25,96.5,41.5,198.0,6.1,9.75,,10.8,3.27
Marcus Thornton,43.0,74.75,77.0,99.0,33.0,194.0,4.8,,14.0,10.73,3.28
Malcolm Lee,43.0,76.0,81.75,101.5,35.5,198.0,5.9,9.5,17.0,11.2,3.09
Mike Scott,43.0,79.25,82.75,104.0,32.5,241.0,10.6,9.0,14.0,11.59,3.44
Devin Ebanks,43.0,79.0,84.25,107.5,32.0,208.0,7.9,9.0,6.0,11.69,3.44
Zhou Qi,43.0,85.25,91.75,112.5,32.0,218.0,4.9,9.5,,11.27,3.46
Joseph Young,43.0,72.75,77.0,94.5,40.5,182.0,4.1,7.5,9.0,10.74,3.25
Ricky Ledo,43.0,76.75,79.25,102.5,33.5,197.0,10.3,9.25,4.0,10.72,3.32
Chase Budinger,44.0,78.25,79.0,101.0,38.5,206.0,10.0,,10.0,11.08,3.24
Markel Brown,44.0,74.5,80.75,100.0,43.5,184.0,4.2,9.75,,12.62,3.18
Andrew Harrison,44.0,76.5,81.0,100.0,33.0,213.0,5.9,9.25,,11.16,3.34
Kim English,44.0,76.5,78.5,98.0,36.5,192.0,4.3,8.75,,10.59,3.33
Mike Muscala,44.0,82.25,85.0,108.0,33.5,230.0,6.8,9.0,5.0,11.76,3.44
