Player,Draft pick,Height (No Shoes),Wingspan,Standing reach,Vertical (Max),Weight,Body Fat,Hand (Width),Bench,Agility,Sprint
JaMychal Green,,80.0,86.25,106.5,32.5,217.0,9.8,9.25,19.0,10.63,3.38
Jordan Taylor,,73.0,75.0,92.5,36.5,193.0,5.5,9.5,14.0,10.57,3.19
Kevin Jones,,78.25,85.5,105.0,32.5,251.0,11.2,7.75,17.0,11.94,3.6
Scott Machado,,73.0,76.0,94.5,32.5,206.0,5.8,9.5,17.0,11.26,3.3
Tony Mitchell (Alabama),,77.25,82.0,100.0,40.0,216.0,5.7,10.0,14.0,11.72,3.47
Tu Holloway,,70.5,77.5,94.5,35.0,187.0,8.5,10.0,12.0,11.0,3.42
William Buford,,76.0,81.5,102.0,32.5,215.0,11.3,10.0,8.0,11.4,3.43
Adonis Thomas,,76.75,85.0,99.0,40.5,232.0,7.5,9.5,13.0,11.66,3.32
B.J. Young,,74.25,80.25,99.0,,179.0,4.7,9.5,,,
Brandon Davies,,80.5,85.5,108.5,31.5,242.0,8.6,11.0,7.0,11.22,3.5
Brandon Paul,,74.75,82.25,98.0,39.5,201.0,5.3,9.5,15.0,11.16,3.37
C.J. Leslie,,79.5,86.25,104.5,40.5,209.0,8.0,9.0,,10.19,3.1
DeWayne Dedmon,,82.0,88.0,109.0,32.5,239.0,8.4,11.0,8.0,12.75,3.4
Jackie Carmichael,,79.5,85.5,107.0,32.0,241.0,5.8,10.25,13.0,11.83,3.35
James Southerland,,79.0,85.0,106.0,32.0,221.0,8.1,9.5,5.0,10.9,3.38
Kenny Kadji,,80.75,87.0,106.5,38.0,242.0,7.5,10.25,9.0,11.47,3.44
Myck Kabongo,,73.25,78.25,98.0,33.5,180.0,6.0,9.0,2.0,10.64,3.34
Norvel Pelle,,81.5,86.5,109.0,34.5,207.0,5.2,9.5,,11.49,3.32
Phil Pressey,,69.5,74.25,92.0,38.5,177.0,4.7,9.75,7.0,10.86,3.13
Richard Howell,,78.25,82.25,105.5,,250.0,8.8,9.5,,,
Robert Covington,,78.25,85.75,106.0,36.0,209.0,4.7,8.5,9.0,11.69,3.34
Seth Curry,,73.0,76.0,97.5,,179.0,9.6,8.25,,,
Trevor Mbakwe,,78.75,88.0,106.5,36.5,236.0,5.9,11.5,21.0,12.01,3.32
Vander Blue,,75.5,78.0,100.5,37.5,197.0,4.6,9.5,4.0,10.4,3.14
Will Clyburn,,77.75,84.25,105.0,34.5,210.0,6.9,10.25,3.0,11.68,3.38
Aaron Craft,,72.75,74.0,94.5,32.0,192.0,6.1,8.5,,10.78,3.26
Alex Kirk,,81.25,87.5,109.5,31.5,252.0,13.6,10.5,,11.2,3.48
C.J. Fair,,78.5,81.5,104.0,35.0,218.0,5.1,9.0,,11.0,3.32
DeAndre Kane,,74.75,80.0,99.0,35.5,200.0,5.0,9.0,,10.95,3.16
Deonte Burton,,72.0,79.0,97.5,39.5,193.0,7.7,8.0,,11.28,3.28
Isaiah Austin,,83.5,88.5,112.5,29.5,220.0,7.5,8.75,,11.0,3.55
Jabari Brown,,75.0,80.25,100.0,32.0,202.0,6.1,9.25,,11.6,3.5
Jahii Carson,,69.75,74.0,93.0,43.5,180.0,6.5,8.75,,11.26,3.24
James McAdoo,,79.5,86.25,106.5,34.0,228.0,6.2,9.0,,11.61,3.28
Jordan Bachynski,,85.25,88.0,108.5,33.0,254.0,7.5,10.0,,12.15,3.36
Kendall Williams,,74.25,77.5,99.0,33.0,183.0,7.2,7.75,,10.83,
Khem Birch,,79.5,85.0,107.0,35.5,209.0,6.0,8.5,,11.6,3.26
LaQuinton Ross,,78.5,85.75,106.0,31.0,239.0,16.3,9.75,,11.97,3.44
Melvin Ejim,,77.25,83.25,103.5,35.0,219.0,6.5,9.25,,11.55,3.14
Patric Young,,80.5,85.75,103.5,37.5,247.0,5.5,9.5,,11.18,3.43
Sean Kilpatrick,,74.5,79.0,99.0,,219.0,9.2,9.0,,,
Aaron Harrison,,76.5,80.25,100.5,34.5,209.0,6.0,10.0,1.0,,3.27
Alan Williams,,79.25,85.75,106.5,28.5,261.0,12.0,9.5,8.0,12.07,3.5
Brandon Ashley,,79.25,87.25,105.0,35.5,228.0,8.8,9.5,9.0,11.3,3.58
Chasson Randle,,72.75,79.0,96.5,39.5,179.0,4.5,9.5,6.0,10.61,3.2
Chris Walker,,80.75,86.75,108.0,37.0,208.0,5.1,9.0,6.0,11.32,3.35
Christian Wood,,81.25,87.25,111.5,,216.0,14.7,10.75,,,
Cliff Alexander,,79.25,87.5,109.5,,239.0,5.8,10.25,,,
Corey Hawkins,,72.75,80.0,99.5,34.0,192.0,5.5,9.0,9.0,10.97,3.51
Dez Wells,,75.0,81.5,100.5,39.0,209.0,8.1,9.75,15.0,10.75,3.2
George De Paula,,76.5,84.0,104.0,34.0,197.0,6.7,10.0,6.0,11.38,3.45
Jonathan Holmes,,80.25,83.5,107.5,31.0,242.0,7.2,9.5,,10.97,3.51
Keifer Sykes,,70.5,74.0,93.0,43.0,167.0,5.0,9.5,8.0,10.5,3.13
Michael Frazier,,75.75,80.0,101.5,35.0,199.0,7.4,9.25,10.0,10.8,3.32
Michael Qualls,,76.0,84.25,104.5,39.5,201.0,4.0,10.25,9.0,11.88,
Mouhammadou Jaiteh,,81.5,87.25,110.5,31.5,247.0,9.9,9.25,7.0,12.05,3.38
Quinn Cook,,72.25,76.0,96.5,31.0,179.0,6.7,8.25,14.0,11.28,3.38
Robert Upshaw,,82.75,89.5,113.0,,258.0,12.5,11.0,,,
Ryan Boatright,,70.0,72.5,92.5,41.0,170.0,6.6,8.75,10.0,10.79,3.26
T.J. McConnell,,72.5,74.0,96.5,31.5,188.0,7.3,7.0,7.0,10.84,3.3
TaShawn Thomas,,79.25,86.0,108.0,30.5,240.0,12.4,9.25,9.0,11.69,3.47
Terran Petteway,,76.75,83.25,104.5,31.0,209.0,4.9,8.25,15.0,10.96,3.32
Treveon Graham,,76.75,82.5,103.0,31.5,219.0,5.5,8.25,11.0,11.6,3.3
Vince Hunter,,78.75,83.0,104.5,37.5,208.0,4.6,8.75,13.0,11.33,3.26
A.J. English,,74.0,82.0,98.5,35.5,182.0,5.3,8.5,,12.27,3.28
Cat Barber,,73.5,77.5,95.5,,173.0,4.5,8.5,,,
Dedric Lawson,,79.0,86.5,106.5,28.0,225.0,11.1,9.5,,12.48,3.65
Dorian Finney-Smith,,78.5,83.75,105.5,35.5,213.0,6.5,9.75,,11.01,3.27
Elgin Cook,,77.0,82.0,100.5,,210.0,6.4,10.25,,,
Gary Payton II,,74.0,80.0,99.5,38.5,184.0,4.0,9.5,,11.57,3.23
Isaiah Miles,,78.75,82.5,105.0,31.5,220.0,9.6,9.5,,11.76,3.39
Jarrod Uthoff,,80.5,83.5,104.0,34.5,214.0,6.0,9.0,,11.52,3.5
Kyle Wiltjer,,80.75,84.25,102.5,35.5,243.0,15.3,9.5,,11.35,3.48
Malik Newman,,74.25,77.75,97.5,35.5,182.0,5.6,9.25,,10.88,3.28
Marcus Lee,,81.0,87.0,107.5,35.5,211.0,5.4,9.0,,11.68,3.25
Melo Trimble,,73.25,74.0,92.5,35.5,192.0,8.4,8.75,,10.57,3.2
Nigel Hayes,,78.25,87.0,107.5,28.5,245.0,10.9,9.5,,12.11,3.2
Perry Ellis,,79.0,82.25,102.0,38.0,218.0,4.6,8.5,,10.73,3.13
Robert Carter,,78.75,87.25,106.5,30.5,251.0,12.5,9.5,,11.97,3.65
Ron Baker,,75.25,81.75,97.5,35.5,212.0,7.9,9.5,,10.77,3.45
Sheldon McClellan,,77.0,79.0,99.5,41.5,198.0,4.8,8.0,,10.45,3.26
Troy Williams,,77.75,80.25,102.0,36.0,218.0,10.0,9.25,,10.72,3.35
Wayne Selden,,76.25,82.5,101.0,,232.0,7.3,9.25,,,
Andrew Jones,,75.0,78.5,99.5,35.0,185.0,4.9,9.0,,11.38,3.35
Cameron Oliver,,79.0,85.25,106.5,39.5,239.0,7.7,10.25,,12.17,3.16
Chris Boucher,,80.0,88.0,110.5,,182.0,5.4,10.5,,,
Derrick Walton,,71.0,74.5,95.0,32.5,189.0,5.8,8.5,,11.28,3.29
Devin Robinson,,79.0,84.75,106.0,41.5,190.0,3.2,10.25,,12.85,3.23
Eric Mika,,80.5,82.0,106.5,32.0,233.0,6.5,8.75,,11.71,3.38
Hamidou Diallo,,75.75,83.25,101.5,44.5,197.0,5.2,9.5,,10.88,3.11
Isaiah Briscoe,,73.25,81.0,99.5,33.5,222.0,11.0,9.25,,10.95,3.38
Isaiah Hicks,,79.25,84.5,105.0,37.0,233.0,7.7,9.75,,12.31,3.36
Jamel Artis,,77.5,82.0,105.0,31.0,213.0,11.9,9.75,,11.62,3.44
Johnathan Motley,,79.75,88.0,108.0,,238.0,,9.5,,,
Jonathan Jeanne,,84.75,90.5,113.5,31.5,207.0,8.7,10.0,,12.61,3.36
Justin Jackson (Canada),,77.75,87.25,107.0,31.5,219.0,8.1,9.5,,11.78,3.43
Kennedy Meeks,,80.75,85.0,106.0,30.5,277.0,11.5,8.75,,12.91,3.5
Kobi Simmons,,75.25,78.0,99.0,38.5,166.0,5.0,9.5,,11.15,3.18
Moritz Wagner,,82.0,84.0,108.0,32.5,231.0,6.7,10.75,,12.0,3.35
Omer Yurtseven,,82.5,85.0,108.5,31.5,248.0,7.6,10.5,,12.85,3.45
P.J. Dozier,,77.25,83.0,101.0,39.0,201.0,6.1,9.5,,10.84,3.15
Peter Jok,,76.25,80.0,102.0,31.0,202.0,11.0,9.5,,11.34,3.41
Rawle Alkins,,74.5,80.75,99.0,40.5,223.0,11.0,10.0,,11.99,3.3
Sviatoslav Mykhailiuk,,78.5,77.0,100.0,33.0,220.0,11.4,9.25,,12.4,3.53
Thomas Welsh,,83.5,84.0,109.5,,254.0,10.9,10.5,,,
V.J. Beachem,,78.25,82.25,104.5,37.0,193.0,6.8,9.0,,11.18,3.26
